Age;Gender;Period;Unemployed
15 to 24 years;Females;2005-01-01;6,3
15 years and over;Males;2005-01-02;4,6
15 to 24 years;Males;2005-01-03;10,4
15 years and over;Females;2005-01-04;4,4
15 years and over;Both sexes;2005-01-05;4,5
15 to 24 years;Both sexes;2005-01-06;8,4
15 to 24 years;Both sexes;2005-01-07;8,5
15 years and over;Both sexes;2005-01-08;4,1
15 years and over;Females;2005-01-09;4
15 to 24 years;Males;2005-01-10;10,5
15 years and over;Males;2005-01-11;4,2
15 to 24 years;Females;2005-01-12;6,2
15 to 24 years;Females;2005-01-13;6,6
15 years and over;Males;2005-01-14;3,3
15 to 24 years;Males;2005-01-15;6,3
15 years and over;Females;2005-01-16;3,9
15 years and over;Both sexes;2005-01-17;3,6
15 to 24 years;Both sexes;2005-01-18;6,5
15 to 24 years;Both sexes;2005-01-19;8,5
15 years and over;Both sexes;2005-01-20;4
15 years and over;Females;2005-01-21;4,2
15 to 24 years;Males;2005-01-22;8,3
15 years and over;Males;2005-01-23;3,9
15 to 24 years;Females;2005-01-24;8,8
15 to 24 years;Females;2005-01-25;5,9
15 years and over;Males;2005-01-26;3,7
15 to 24 years;Males;2005-01-27;7,4
15 years and over;Females;2005-01-28;3,8
15 years and over;Both sexes;2005-01-29;3,7
15 to 24 years;Both sexes;2005-01-30;6,7
15 to 24 years;Both sexes;2005-01-31;7,3
15 years and over;Both sexes;2005-02-01;3,8
15 years and over;Females;2005-02-02;4,1
15 to 24 years;Males;2005-02-03;7,1
15 years and over;Males;2005-02-04;3,6
15 to 24 years;Females;2005-02-05;7,5
15 to 24 years;Females;2005-02-06;5,3
15 years and over;Males;2005-02-07;3,1
15 to 24 years;Males;2005-02-08;4,7
15 years and over;Females;2005-02-09;3,8
15 years and over;Both sexes;2005-02-10;3,4
15 to 24 years;Both sexes;2005-02-11;5
15 to 24 years;Both sexes;2005-02-12;6
15 years and over;Both sexes;2005-02-13;3,7
15 years and over;Females;2005-02-14;3,8
15 to 24 years;Males;2005-02-15;6,5
15 years and over;Males;2005-02-16;3,7
15 to 24 years;Females;2005-02-17;5,4
15 to 24 years;Females;2005-02-18;7,1
15 years and over;Males;2005-02-19;3,8
15 to 24 years;Males;2005-02-20;7,9
15 years and over;Females;2005-02-21;4,1
15 years and over;Both sexes;2005-02-22;4
15 to 24 years;Both sexes;2005-02-23;7,5
15 to 24 years;Both sexes;2005-02-24;7,2
15 years and over;Both sexes;2005-02-25;4
15 years and over;Females;2005-02-26;4,2
15 to 24 years;Males;2005-02-27;7,4
15 years and over;Males;2005-02-28;3,9
15 to 24 years;Females;2005-03-01;7
15 to 24 years;Females;2005-03-02;6,7
15 years and over;Males;2005-03-03;4,2
15 to 24 years;Males;2005-03-04;8,1
15 years and over;Females;2005-03-05;3,9
15 years and over;Both sexes;2005-03-06;4,1
15 to 24 years;Both sexes;2005-03-07;7,4
15 to 24 years;Both sexes;2005-03-08;7,9
15 years and over;Both sexes;2005-03-09;4,2
15 years and over;Females;2005-03-10;4,2
15 to 24 years;Males;2005-03-11;9,2
15 years and over;Males;2005-03-12;4,2
15 to 24 years;Females;2005-03-13;6,4
15 to 24 years;Females;2005-03-14;5,8
15 years and over;Males;2005-03-15;3,9
15 to 24 years;Males;2005-03-16;10,6
15 years and over;Females;2005-03-17;3,6
15 years and over;Both sexes;2005-03-18;3,8
15 to 24 years;Both sexes;2005-03-19;8,3
15 to 24 years;Both sexes;2005-03-20;6,3
15 years and over;Both sexes;2005-03-21;3,2
15 years and over;Females;2005-03-22;3,4
15 to 24 years;Males;2005-03-23;6,9
15 years and over;Males;2005-03-24;3
15 to 24 years;Females;2005-03-25;5,6
15 to 24 years;Females;2005-03-26;5,4
15 years and over;Males;2005-03-27;3,3
15 to 24 years;Males;2005-03-28;6
15 years and over;Females;2005-03-29;3,4
15 years and over;Both sexes;2005-03-30;3,4
15 to 24 years;Both sexes;2005-03-31;5,7
15 to 24 years;Both sexes;2005-04-01;6,1
15 years and over;Both sexes;2005-04-02;3,5
15 years and over;Females;2005-04-03;3,7
15 to 24 years;Males;2005-04-04;6,7
15 years and over;Males;2005-04-05;3,2
15 to 24 years;Females;2005-04-06;5,5
15 to 24 years;Females;2005-04-07;7,7
15 years and over;Males;2005-04-08;3
15 to 24 years;Males;2005-04-09;6,3
15 years and over;Females;2005-04-10;3,9
15 years and over;Both sexes;2005-04-11;3,4
15 to 24 years;Both sexes;2005-04-12;7
15 to 24 years;Both sexes;2005-04-13;6,3
15 years and over;Both sexes;2005-04-14;3,4
15 years and over;Females;2005-04-15;3,5
15 to 24 years;Males;2005-04-16;7,3
15 years and over;Males;2005-04-17;3,4
15 to 24 years;Females;2005-04-18;5,2
15 to 24 years;Females;2005-04-19;6,8
15 years and over;Males;2005-04-20;3,5
15 to 24 years;Males;2005-04-21;7,5
15 years and over;Females;2005-04-22;3,4
15 years and over;Both sexes;2005-04-23;3,5
15 to 24 years;Both sexes;2005-04-24;7,2
15 to 24 years;Both sexes;2005-04-25;8
15 years and over;Both sexes;2005-04-26;4
15 years and over;Females;2005-04-27;4,2
15 to 24 years;Males;2005-04-28;8,9
15 years and over;Males;2005-04-29;3,8
15 to 24 years;Females;2005-04-30;7
15 to 24 years;Females;2005-05-01;7,1
15 years and over;Males;2005-05-02;3,4
15 to 24 years;Males;2005-05-03;7,2
15 years and over;Females;2005-05-04;3,4
15 years and over;Both sexes;2005-05-05;3,4
15 to 24 years;Both sexes;2005-05-06;7,1
15 to 24 years;Both sexes;2005-05-07;5,7
15 years and over;Both sexes;2005-05-08;3
15 years and over;Females;2005-05-09;3,6
15 to 24 years;Males;2005-05-10;5,5
15 years and over;Males;2005-05-11;2,5
15 to 24 years;Females;2005-05-12;6
15 to 24 years;Females;2005-05-13;3,1
15 years and over;Males;2005-05-14;3,4
15 to 24 years;Males;2005-05-15;7,6
15 years and over;Females;2005-05-16;3
15 years and over;Both sexes;2005-05-17;3,2
15 to 24 years;Both sexes;2005-05-18;5,5
15 to 24 years;Both sexes;2005-05-19;6,7
15 years and over;Both sexes;2005-05-20;3,5
15 years and over;Females;2005-05-21;3,8
15 to 24 years;Males;2005-05-22;6,3
15 years and over;Males;2005-05-23;3,3
15 to 24 years;Females;2005-05-24;7,2
15 to 24 years;Females;2005-05-25;6
15 years and over;Males;2005-05-26;3,7
15 to 24 years;Males;2005-05-27;8,1
15 years and over;Females;2005-05-28;3,6
15 years and over;Both sexes;2005-05-29;3,6
15 to 24 years;Both sexes;2005-05-30;7,1
15 to 24 years;Both sexes;2005-05-31;7,7
15 years and over;Both sexes;2005-06-01;3,7
15 years and over;Females;2005-06-02;4
15 to 24 years;Males;2005-06-03;8,4
15 years and over;Males;2005-06-04;3,4
15 to 24 years;Females;2005-06-05;6,8
15 to 24 years;Females;2005-06-06;6,9
15 years and over;Males;2005-06-07;3,5
15 to 24 years;Males;2005-06-08;9,4
15 years and over;Females;2005-06-09;3,7
15 years and over;Both sexes;2005-06-10;3,6
15 to 24 years;Both sexes;2005-06-11;8,2
15 to 24 years;Both sexes;2005-06-12;9,1
15 years and over;Both sexes;2005-06-13;3,7
15 years and over;Females;2005-06-14;3,8
15 to 24 years;Males;2005-06-15;9,8
15 years and over;Males;2005-06-16;3,6
15 to 24 years;Females;2005-06-17;8,3
15 to 24 years;Females;2005-06-18;8,8
15 years and over;Males;2005-06-19;3,7
15 to 24 years;Males;2005-06-20;7,7
15 years and over;Females;2005-06-21;3,8
15 years and over;Both sexes;2005-06-22;3,8
15 to 24 years;Both sexes;2005-06-23;8,2
15 to 24 years;Both sexes;2005-06-24;8
15 years and over;Both sexes;2005-06-25;3,7
15 years and over;Females;2005-06-26;4,1
15 to 24 years;Males;2005-06-27;6,2
15 years and over;Males;2005-06-28;3,3
15 to 24 years;Females;2005-06-29;10,1
15 to 24 years;Females;2005-06-30;7,3
15 years and over;Males;2005-07-01;2,9
15 to 24 years;Males;2005-07-02;5,5
15 years and over;Females;2005-07-03;3,7
15 years and over;Both sexes;2005-07-04;3,3
15 to 24 years;Both sexes;2005-07-05;6,3
15 to 24 years;Both sexes;2005-07-06;6,3
15 years and over;Both sexes;2005-07-07;3,4
15 years and over;Females;2005-07-08;3,8
15 to 24 years;Males;2005-07-09;5,8
15 years and over;Males;2005-07-10;3
15 to 24 years;Females;2005-07-11;6,9
15 to 24 years;Females;2005-07-12;5,7
15 years and over;Males;2005-07-13;3,5
15 to 24 years;Males;2005-07-14;6,7
15 years and over;Females;2005-07-15;3,4
15 years and over;Both sexes;2005-07-16;3,5
15 to 24 years;Both sexes;2005-07-17;6,2
15 to 24 years;Both sexes;2005-07-18;6,2
15 years and over;Both sexes;2005-07-19;3,5
15 years and over;Females;2005-07-20;3,2
15 to 24 years;Males;2005-07-21;6
15 years and over;Males;2005-07-22;3,7
15 to 24 years;Females;2005-07-23;6,4
15 to 24 years;Females;2005-07-24;7,3
15 years and over;Males;2005-07-25;3,6
15 to 24 years;Males;2005-07-26;6,8
15 years and over;Females;2005-07-27;3,9
15 years and over;Both sexes;2005-07-28;3,7
15 to 24 years;Both sexes;2005-07-29;7,1
15 to 24 years;Both sexes;2005-07-30;5,7
15 years and over;Both sexes;2005-07-31;3,3
15 years and over;Females;2005-08-01;3,5
15 to 24 years;Males;2005-08-02;5,8
15 years and over;Males;2005-08-03;3,2
15 to 24 years;Females;2005-08-04;5,6
15 to 24 years;Females;2005-08-05;9,3
15 years and over;Males;2005-08-06;3,6
15 to 24 years;Males;2005-08-07;7,4
15 years and over;Females;2005-08-08;3,8
15 years and over;Both sexes;2005-08-09;3,7
15 to 24 years;Both sexes;2005-08-10;8,3
15 to 24 years;Both sexes;2005-08-11;7,4
15 years and over;Both sexes;2005-08-12;3,7
15 years and over;Females;2005-08-13;3,8
15 to 24 years;Males;2005-08-14;7,2
15 years and over;Males;2005-08-15;3,6
15 to 24 years;Females;2005-08-16;7,5
15 to 24 years;Females;2005-08-17;5,9
15 years and over;Males;2005-08-18;3,7
15 to 24 years;Males;2005-08-19;8,4
15 years and over;Females;2005-08-20;3,4
15 years and over;Both sexes;2005-08-21;3,6
15 to 24 years;Both sexes;2005-08-22;7,2
15 to 24 years;Both sexes;2005-08-23;6,8
15 years and over;Both sexes;2005-08-24;3,4
15 years and over;Females;2005-08-25;3,4
15 to 24 years;Males;2005-08-26;7,5
15 years and over;Males;2005-08-27;3,3
15 to 24 years;Females;2005-08-28;5,9
15 to 24 years;Females;2005-08-29;6,3
15 years and over;Males;2005-08-30;3,5
15 to 24 years;Males;2005-08-31;8,4
15 years and over;Females;2005-09-01;3,7
15 years and over;Both sexes;2005-09-02;3,6
15 to 24 years;Both sexes;2005-09-03;7,4
15 to 24 years;Both sexes;2005-09-04;6,7
15 years and over;Both sexes;2005-09-05;3,3
15 years and over;Females;2005-09-06;3,1
15 to 24 years;Males;2005-09-07;8,6
15 years and over;Males;2005-09-08;3,4
15 to 24 years;Females;2005-09-09;4,6
15 to 24 years;Females;2005-09-10;6,9
15 years and over;Males;2005-09-11;3,4
15 to 24 years;Males;2005-09-12;8
15 years and over;Females;2005-09-13;3,7
15 years and over;Both sexes;2005-09-14;3,5
15 to 24 years;Both sexes;2005-09-15;7,5
15 to 24 years;Both sexes;2005-09-16;7,3
15 years and over;Both sexes;2005-09-17;3,5
15 years and over;Females;2005-09-18;3,7
15 to 24 years;Males;2005-09-19;9
15 years and over;Males;2005-09-20;3,3
15 to 24 years;Females;2005-09-21;5,3
15 years and over;Both sexes;2005-09-22;3,6
15 to 24 years;Females;2005-09-23;8,2
15 years and over;Males;2005-09-24;3,2
15 to 24 years;Males;2005-09-25;5,8
15 years and over;Females;2005-09-26;4,2
15 to 24 years;Both sexes;2005-09-27;6,9
15 to 24 years;Both sexes;2005-09-28;8,2
15 years and over;Females;2005-09-29;3,5
15 to 24 years;Males;2005-09-30;8,3
15 years and over;Males;2005-10-01;3,1
15 to 24 years;Females;2005-10-02;8,1
15 years and over;Both sexes;2005-10-03;3,3
15 years and over;Both sexes;2005-10-04;3,6
15 to 24 years;Females;2005-10-05;7,3
15 years and over;Males;2005-10-06;3,3
15 to 24 years;Males;2005-10-07;8
15 years and over;Females;2005-10-08;4
